Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date,Technology
2022-01-01T00:00:00Z,2022,1,1,2022-Q1,2022-01,Armenia,All Providers Combined,Fixed,mean,57.11,49.75,46,39,NA,Jan-22,NA
2022-01-01T00:00:00Z,2022,1,1,2022-Q1,2022-01,Armenia,All Providers Combined,Fixed,median,34.26,29.53,7.6944,3.9,NA,Jan-22,NA
2022-02-01T00:00:00Z,2022,2,1,2022-Q1,2022-02,Armenia,All Providers Combined,Cellular,mean,36.16,11.79,41,17,NA,Feb-22,cellular
2022-02-01T00:00:00Z,2022,2,1,2022-Q1,2022-02,Armenia,All Providers Combined,Cellular,median,24.18,7.78,30.954,7.6704,NA,Feb-22,cellular
2022-02-01T00:00:00Z,2022,2,1,2022-Q1,2022-02,Armenia,All Providers Combined,Fixed,mean,61.23,53.05,48,42,NA,Feb-22,NA
2022-02-01T00:00:00Z,2022,2,1,2022-Q1,2022-02,Armenia,All Providers Combined,Fixed,median,35.22,30.82,7.4974,3.625,NA,Feb-22,NA
2022-03-01T00:00:00Z,2022,3,1,2022-Q1,2022-03,Armenia,All Providers Combined,Cellular,mean,33.48,12.13,42,18,NA,Mar-22,cellular
2022-03-01T00:00:00Z,2022,3,1,2022-Q1,2022-03,Armenia,All Providers Combined,Cellular,median,22.01,8.39,31.6723,8.2242,NA,Mar-22,cellular
2022-03-01T00:00:00Z,2022,3,1,2022-Q1,2022-03,Armenia,All Providers Combined,Fixed,mean,61.2,53.35,46,39,NA,Mar-22,NA
2022-03-01T00:00:00Z,2022,3,1,2022-Q1,2022-03,Armenia,All Providers Combined,Fixed,median,34.8,31.15,7.6778,3.9,NA,Mar-22,NA
2022-04-01T00:00:00Z,2022,4,2,2022-Q2,2022-04,Armenia,All Providers Combined,Cellular,mean,36.8,13.88,49,19,NA,Apr-22,cellular
2022-04-01T00:00:00Z,2022,4,2,2022-Q2,2022-04,Armenia,All Providers Combined,Cellular,median,24.79,9.97,32.1567,8.1725,NA,Apr-22,cellular
2022-04-01T00:00:00Z,2022,4,2,2022-Q2,2022-04,Armenia,All Providers Combined,Fixed,mean,65.02,54.92,46,39,NA,Apr-22,NA
2022-04-01T00:00:00Z,2022,4,2,2022-Q2,2022-04,Armenia,All Providers Combined,Fixed,median,36.44,31.85,7.9202,3.8935,NA,Apr-22,NA
2022-05-01T00:00:00Z,2022,5,2,2022-Q2,2022-05,Armenia,All Providers Combined,Cellular,mean,33.48,13.85,48,23,NA,May-22,cellular
2022-05-01T00:00:00Z,2022,5,2,2022-Q2,2022-05,Armenia,All Providers Combined,Cellular,median,21.46,10.02,33.5528,9.0433,NA,May-22,cellular
2022-05-01T00:00:00Z,2022,5,2,2022-Q2,2022-05,Armenia,All Providers Combined,Fixed,mean,64.69,56.3,38,32,NA,May-22,NA
2022-05-01T00:00:00Z,2022,5,2,2022-Q2,2022-05,Armenia,All Providers Combined,Fixed,median,36.59,32.57,7.1776,3.6052,NA,May-22,NA
2022-06-01T00:00:00Z,2022,6,2,2022-Q2,2022-06,Armenia,All Providers Combined,Cellular,mean,36.32,14.18,51,25,NA,Jun-22,cellular
2022-06-01T00:00:00Z,2022,6,2,2022-Q2,2022-06,Armenia,All Providers Combined,Cellular,median,23.53,10.08,33.2153,8.8775,NA,Jun-22,cellular
2022-06-01T00:00:00Z,2022,6,2,2022-Q2,2022-06,Armenia,All Providers Combined,Fixed,mean,69,59.85,39,31,NA,Jun-22,NA
2022-06-01T00:00:00Z,2022,6,2,2022-Q2,2022-06,Armenia,All Providers Combined,Fixed,median,36.69,32.83,7.266,3.5907,NA,Jun-22,NA
2022-07-01T00:00:00Z,2022,7,3,2022-Q3,2022-07,Armenia,All Providers Combined,Cellular,mean,40.41,13.55,48,21,NA,Jul-22,cellular
2022-07-01T00:00:00Z,2022,7,3,2022-Q3,2022-07,Armenia,All Providers Combined,Cellular,median,28.83,9.77,32.2555,8.5083,NA,Jul-22,cellular
2022-07-01T00:00:00Z,2022,7,3,2022-Q3,2022-07,Armenia,All Providers Combined,Fixed,mean,67.81,63.57,33,30,NA,Jul-22,NA
2022-07-01T00:00:00Z,2022,7,3,2022-Q3,2022-07,Armenia,All Providers Combined,Fixed,median,37.99,34.98,6.7556,3.3502,NA,Jul-22,NA
2022-08-01T00:00:00Z,2022,8,3,2022-Q3,2022-08,Armenia,All Providers Combined,Cellular,mean,37.44,13.01,50,22,NA,Aug-22,cellular
2022-08-01T00:00:00Z,2022,8,3,2022-Q3,2022-08,Armenia,All Providers Combined,Cellular,median,26.06,8.58,32.4586,8.6905,NA,Aug-22,cellular
2022-08-01T00:00:00Z,2022,8,3,2022-Q3,2022-08,Armenia,All Providers Combined,Fixed,mean,64.05,62.19,35,30,NA,Aug-22,NA
2022-08-01T00:00:00Z,2022,8,3,2022-Q3,2022-08,Armenia,All Providers Combined,Fixed,median,37.22,34.23,7.0667,3.4408,NA,Aug-22,NA
2022-09-01T00:00:00Z,2022,9,3,2022-Q3,2022-09,Armenia,All Providers Combined,Cellular,mean,35.38,13.62,54,25,NA,Sep-22,cellular
